,category,brand_name,name,price,rating,url,num_review
158,Face Brushes,Laura Mercier,Camouflage Powder Brush,$28.00,4.7241,http://www.sephora.com/camouflage-powder-brush-P109949,29
159,Face Brushes,blendSMART,blendSMART2 Blush Brush,$26.00,4.25,http://www.sephora.com/blush-brush-P407473,4
160,Face Brushes,SEPHORA COLLECTION,PRO Flawless Powder Brush #40,$19.00,3.4394,http://www.sephora.com/pro-flawless-powder-brush-40-P313008,66
161,Face Brushes,MAKE UP FOR EVER,128 Precision Powder Brush,$52.00,4.5,http://www.sephora.com/128-precision-powder-brush-P382429,22
162,Face Brushes,SEPHORA COLLECTION,PRO Blending Brush #27,$22.00,4.4609,http://www.sephora.com/pro-blending-brush-27-P313032,115
163,Face Brushes,SEPHORA COLLECTION,PRO Brow Contour #36,$11.00,4.0333,http://www.sephora.com/pro-brow-contour-36-P404617,31
164,Face Brushes,SEPHORA COLLECTION,PRO Mini Airbrush #55.5,$24.00,4.2188,http://www.sephora.com/pro-mini-airbrush-55-5-P398335,33
165,Face Brushes,MAKE UP FOR EVER,110 Foundation Kabuki Brush,$48.00,4.8462,http://www.sephora.com/110-foundation-kabuki-brush-P378100,65
166,Face Brushes,bareMinerals,Retractable Precision Foundation Brush,$22.00,3.8462,http://www.sephora.com/retractable-precision-foundation-brush-P375372,39
167,Face Brushes,COVER FX,Double Ended Contour Brush,$38.00,3.7812,http://www.sephora.com/double-ended-contour-brush-P393679,32
168,Face Brushes,SEPHORA COLLECTION,PRO Airbrush Perfector #51,$34.00,4.375,http://www.sephora.com/pro-airbrush-perfector-51-P409076,16
169,Face Brushes,SEPHORA COLLECTION,PRO Small Blush and Contour Brush #74,$32.00,4.2587,http://www.sephora.com/pro-contour-brush-74-P313017,202
170,Face Brushes,KEVYN AUCOIN,Kevyn Aucoin Contour Brush,$40.00,3.8,http://www.sephora.com/kevyn-aucoin-contour-brush-P393952,10
171,Face Brushes,tarte,Swirl Power Contour & Bronzer Brush,$34.00,4.3053,http://www.sephora.com/swirl-power-contour-bronzer-brush-P397380,95
172,Face Brushes,SEPHORA COLLECTION,Pro Buffing Brush #62,$19.00,2.5746,http://www.sephora.com/pro-buffing-brush-62-P313019,null
173,Face Brushes,surratt beauty,Artistique Face Brush,$230.00,5.0,http://www.sephora.com/artistique-face-brush-P394816,2
174,Face Brushes,MAKE UP FOR EVER,154 Buffer Blush Brush,$44.00,4.75,http://www.sephora.com/154-buffer-blush-brush-P382415,9
175,Face Brushes,MAKE UP FOR EVER,150 Precision Blush Brush,$40.00,3.5833,http://www.sephora.com/150-precision-blush-brush-P382432,12
176,Face Brushes,Bobbi Brown,Powder Brush,$66.00,4.5455,http://www.sephora.com/powder-brush-P270601,22
177,Face Brushes,COVER FX,Cream Foundation Brush,$38.00,4.0323,http://www.sephora.com/cream-foundation-brush-P376619,31
178,Face Brushes,NARS,Bronzing Powder Brush #11,$52.00,3.875,http://www.sephora.com/bronzing-powder-brush-11-P386047,8
179,Face Brushes,Urban Decay,Moondust Brush,$24.00,4.5556,http://www.sephora.com/moondust-brush-P410556,9
180,Face Brushes,stila,Shape & Shade Custom Contour Brush,$38.00,2.9,http://www.sephora.com/sculpt-shade-custom-contour-brush-P393834,20
181,Face Brushes,KEVYN AUCOIN,The Sculpting Brush,$32.00,4.3333,http://www.sephora.com/the-sculpting-brush-P404817,3
182,Face Brushes,KEVYN AUCOIN,The Loose Powder Brush,$78.00,5.0,http://www.sephora.com/the-loose-powder-brush-P407931,2
183,Face Brushes,SEPHORA COLLECTION,Hide and Sleek Retractable Buffing Brush,$24.00,4.2381,http://www.sephora.com/hide-sleek-retractable-buffing-brush-P382537,21
184,Face Brushes,MAKE UP FOR EVER,140 Small Highlighter Brush,$34.00,4.5,http://www.sephora.com/140-small-highlighter-brush-P382420,18
185,Face Brushes,Kat Von D,Tattoo Concealer Brush,$19.00,4.0625,http://www.sephora.com/tattoo-concealer-brush-P231804,64
186,Face Brushes,blendSMART,blendSMART2 Definer Brush,$26.00,5.0,http://www.sephora.com/definer-brush-P412321,1
187,Face Brushes,Bobbi Brown,Angled Face Brush,$52.00,4.5,http://www.sephora.com/angled-face-brush-P406627,4
